humidity;temperature;sun_hours;crop_age;isolation_index;precipitation;humidity_var;temp_var;infection_prob;label
74.96714153;12.52354869;5.1885942;61.02058269;0.501604305;8.207232314;13.38982225;0.911630834;0.395963084;0
68.61735699;12.84902115;4.247631692;61.49356804;0.536837924;14.48856901;0.700920173;-4.710511027;0.264716796;0
76.47688538;16.91068257;9.014275396;78.8711259;0.273543702;5.111250077;9.610189078;0.642456244;0.573351597;1
85.23029856;14.29419793;5.824659366;64.5151693;0.325001312;5.978363068;5.298666626;-8.741898221;0.585862059;1
67.65846625;13.71194472;5.789806001;30.12831555;0.05202908;2.250706077;-10.32025429;-1.88365957;0.090835007;0
67.65863043;19.67856467;4.189206724;95.85948226;0.090420841;1.838441588;-6.530329268;6.676153848;0.657014213;1
85.79212816;19.76457618;5.681459733;97.65453373;0.104647462;3.050639772;2.285978103;5.126762423;0.908373903;1
77.67434729;22.36775605;9.101317924;97.22771442;0.582147794;8.420547966;1.276348646;-3.480070466;0.552673093;1
65.30525614;16.2656285;5.541900973;61.05185999;0.462695531;8.748826235;10.46502874;-7.629679414;0.204541598;0
75.42560044;11.09627637;9.661224937;77.0060526;0.543601115;4.736397066;2.416460059;-10.91572445;0.254933261;0
65.36582307;14.10499577;9.624162294;62.39761664;0.118408626;10.27547735;-10.14974439;3.087354281;0.238761078;0
65.34270246;24.70008195;4.014290615;31.443276;0.397438824;3.342229156;-4.362621166;1.391947663;0.056658581;0
72.41962272;18.94387863;4.241178775;80.62040471;0.367007793;1.648659101;5.944509914;1.92836594;0.498142711;0
50.86719755;20.64605627;9.038718492;41.13845995;0.54815479;7.292475414;-14.58092475;8.453014018;0.012246856;0
52.75082167;10.11036744;5.749326432;37.20371917;0.369781338;5.759984814;-11.29087115;0.764471224;0.022554474;0
64.37712471;17.77308598;3.030617876;97.99491618;0.251488652;5.892746356;-2.981238772;1.14041063;0.604707539;1
59.8716888;10.56292986;4.917102738;30.85555822;0.583161351;14.88288878;7.413722216;-6.986897959;0.049736077;0
73.14247333;18.53845318;7.183402952;116.3107599;0.771392297;5.864895717;-1.733984734;8.119685346;0.579147586;1
60.91975924;23.81156274;8.594861762;76.37298277;0.290432977;9.436272993;3.687461084;-0.819789094;0.269597797;0
55.87696299;24.52628696;3.93372032;118.4714788;0.053317386;0.100541418;0.038519604;-4.084380439;0.647450466;1
84.65648769;18.10829013;3.773789551;35.21978152;0.579727484;5.737657402;-1.126816704;1.039283217;0.211793765;0
67.742237;16.87307208;9.454648575;82.5176594;0.249021861;1.259453422;-5.23029251;10.00155806;0.32536052;0
70.67528205;24.17525641;8.258038575;61.43943324;0.42620756;4.050438284;6.718605051;10.67599595;0.245711192;0
55.75251814;20.10414748;7.128457205;105.9134244;0.495435365;3.1682015;-10.03414307;-4.851997878;0.188059621;0
64.55617275;10.97348919;8.38430753;62.51004617;0.140659118;12.85095276;-1.869256675;5.87685804;0.333440215;0
71.1092259;16.98588367;6.001980529;53.44388212;0.538566357;13.38359101;9.169034704;1.678657275;0.267281155;0
58.49006423;13.60367528;8.309190231;107.1797814;0.423491494;14.24110478;-6.11396718;4.937960921;0.461713874;0
73.75698018;17.04706482;5.602620939;63.71877825;0.600765062;5.475673203;-12.4506988;1.383581545;0.163806506;0
63.9936131;16.83198358;4.708662007;31.51499879;0.596412197;0.459485758;-16.93462045;3.07442444;0.017972285;0
67.0830625;18.73217204;8.103093949;65.12601908;0.446364146;6.646605863;5.330196848;6.606526243;0.220337407;0
63.98293388;15.35155736;5.937706045;88.90700421;0.424181151;3.467722205;5.868924894;-8.745848705;0.316458665;0
88.52278185;12.46405674;9.86963973;52.89235849;0.27359195;5.276621025;-2.753841765;1.801869877;0.44932272;0
69.86502775;17.55579152;5.446396276;68.87888332;0.381587694;2.000561961;-10.16822685;-5.847560986;0.189046819;0
59.42289071;22.45304327;9.452091944;35.10436245;0.686993599;12.67341966;-1.168776314;-2.317996497;0.021337819;0
78.22544912;19.96018342;9.53073784;82.92835124;0.389297373;8.28735561;9.424755747;0.004856422;0.605619065;1
57.7915635;15.07551799;4.692970629;98.06654315;0.702668523;4.033220951;-10.15437533;-5.039160262;0.13664935;0
72.08863595;24.03284534;8.587548271;67.19813053;0.678588665;2.44047729;8.465395357;-2.906938983;0.147046186;0
50.40329876;23.68311357;6.031521536;67.82093695;0.22706193;9.04326965;-13.56183205;-7.003582306;0.080910788;0
56.71813951;13.14022599;9.422673091;37.94542487;0.351371939;10.32172072;-9.09586928;-2.966399804;0.029935142;0
71.96861236;10.59126378;6.150869908;48.17467781;0.234540268;3.459371032;0.874216078;2.559257556;0.225833727;0
77.3846658;21.11963063;8.210126021;43.92077728;0.630830955;2.525463381;7.58122027;4.327263294;0.120789397;0
71.71368281;22.41415392;6.268771864;73.35189918;0.403468744;5.502872798;11.77314162;-3.846893761;0.411455973;0
